n,InsertionSort Time (in ns),SelectionSort Time (in ns),BubbleSort Time (in ns),MergeSort Time (in ns),5000,19775174,25816833,42182474,3177395
10000,38940679,109869379,233473596,3049920
15000,92159783,170715433,364819470,3636671
20000,83786625,258851358,684254362,3450987
25000,131473691,401339875,1106977266,4226183
30000,185011324,576311258,1639991341,5075846
35000,253668620,792615220,2265389412,6914120
40000,325850128,1028895796,2986925524,7567349
45000,413437583,1298250679,3825133879,14994170
50000,531460133,1927295066,4792461325,11204049
55000,619709454,1945793933,5759515375,9967349
60000,738430766,2313550379,6882926946,11864616
65000,863951395,2707255733,8112678675,12326925
70000,1010749266,3165581791,9487090791,13271266
75000,1163951887,3613172108,10936113041,15337675
80000,1318463150,4100811879,12359965008,15688254
85000,1493227875,4632171987,13975873108,18087029
90000,1673453687,5196888087,15718097795,17507404
95000,1864539449,5777981937,17621692925,18121279
100000,2067480829,6409811937,19456936887,19741191
