size,AVL-Insert-time (ns),Heap-Insert-time (ns),AVL-RemoveMin-time (ns),Heap-RemoveMin-time (ns)
234,205792,71583,257625,53292
235,583,1541,2125,11125
236,208,1500,1375,5958
237,291,500,1125,6708
238,291,2042,3792,6375
239,459,3500,2875,10416
240,625,7125,1458,8042
241,750,1000,1792,7166
242,625,583,1416,6792
243,583,1333,2417,14000
244,875,583,1584,7208
245,666,833,2125,7416
246,625,541,1542,4750
247,542,3500,2750,9958
248,666,129250,235958,66917
249,1334,2750,1959,9833
250,541,2833,2209,7791
251,667,6083,1708,10000
252,750,72833,2292,8042
253,417,8375,1875,7750
254,541,8250,1792,67792
255,191250,3459,242375,9666
256,792,5792,2125,8667
257,833,117708,238542,79417
258,1375,2458,2042,81083
259,917,750,2000,5834
260,459,500,875,2125
261,375,625,958,2750
262,334,917,2500,7917
263,458,3625,3125,7500
264,750,3292,2042,6583
265,542,1167,1791,5833
266,708,1292,2291,5292
267,583,583,1709,5708
268,542,750,1375,5583
269,625,542,1458,4542
270,750,2208,1584,10042
271,667,1708,1917,7875
272,750,1750,1500,316667
273,179208,5959,245417,7625
274,584,3000,2583,8417
275,625,2250,1791,6250
276,333,6750,1542,8125
277,500,2244875,1959,6958
278,291,1403666,1667,8167
279,625,286542,1625,5875
280,417,136917,243292,111083
281,204042,70125,241583,67917
282,458,3875,5667,7791
283,541,4292,2000,6208
284,333,1000,1792,4125
285,250,333,1875,5000
286,334,500,1459,3792
287,250,291,1333,4208
288,333,292,1083,2375
289,250,133375,240458,75667
290,1417,1166,1334,9583
291,584,1750,2209,5084
292,166,3042,1625,7958
293,250,667,1125,5125
294,459,625,1417,7708
295,542,667,1375,10750
296,709,9584,4125,6750
297,625,2250,1667,5292
298,500,875,1667,6375
299,667,1334,2333,7667
300,625,1333,1625,6625
301,625,833,1958,6750
302,666,958,1708,7500
303,625,792,2000,5709
304,667,1333,2041,10000
305,791,1084,89083,106666
306,175208,3042,246209,10792
307,750,188292,268125,83750
308,1666,1375,2292,21667
309,1375,833,1792,10208
310,834,3417,2625,7042
311,542,4291,5708,48791
312,583,1292,2167,5250
313,333,625,1917,4084
314,416,1000,1833,5708
315,708,375,1875,102584
316,185667,6208,249708,9084
317,250,1584,2167,7042
318,334,834,1042,8917
319,333,3083,1166,6333
320,458,208,1458,6917
321,1625,1125,1708,7958
322,625,1417,2833,6250
323,333,2166,1708,6584
324,1167,2250,1791,6417
325,500,3750,1666,11333
326,917,2000,2542,7291
327,500,2417,1709,6208
328,792,2083,1917,5875
329,792,6209,3167,9958
330,5208,792,193375,5375
331,236666,147584,255208,79375
332,541,3333,2750,92541
333,458,31000,39625,169125
334,155167,16041,236417,10041
335,583,667,2000,9334
336,459,20708,3292,6542
337,541,1250,2500,10709
338,625,375,1542,6417
339,667,750,1625,5583
340,625,1708,315584,75958
341,750,1334,1625,7208
342,458,666,1500,3792
343,250,583,1375,11375
344,459,1333,1916,4916
345,292,208,2000,2750
346,166,1250,1542,12417
347,459,2933750,2708,7167
348,458,1375,1375,5916
349,458,750,2042,15791
350,1000,1500,1583,8000
351,458,2084,4041,6875
352,708,708,1791,5958
353,625,1333,1959,6083
354,625,750,1625,3917
355,375,1500,2333,5375
356,791,1666250,243750,75625
357,833,2449333,5208,41750
358,708,1500,1666,191541
359,159417,35750,218084,258333
360,666,2125,3000,1583
361,709,1417,4584,916
362,708,1500,1917,98667
363,157708,1792,231750,1833
364,625,959,2042,1125
365,500,1000,1792,958
366,375,2561416,3750,1750
367,542,1542,1875,1750
368,708,1708,1791,1959
369,875,1625,2250,1750
370,541,1458,2083,1375
371,500,2584,1375,916
372,584,542,1458,1208
373,667,2083,4125,89000
374,172125,1959,243708,2125
375,917,1209,4167,1291
376,458,1333,2625,1250
377,458,17166,2083,2500
378,959,5292,1917,1250
379,500,303792,1459,1958
380,375,3666,1750,92125
381,169708,2142833,235250,87125
382,750,2211875,8958,1584
383,792,43875,244000,84500
384,792,4167,1916,1583
385,750,1917,3416,1125
386,542,792,1958,1666
387,875,833,1917,95834
388,156917,2083,229667,1708
389,500,1083,1833,1000
390,375,583,1000,1833
391,625,1333,2208,2167
392,625,2048458,2958,1209
393,375,1750,1791,1166
394,542,541,1833,1042
395,458,459,1250,583
396,500,500,1166,709
397,541,1417,2750,1333
398,583,1833,2083,2834
399,1167,1541,2250,917
400,625,500,1375,100833
401,152750,6083,252417,1750
402,500,1208,1917,1417
403,500,1167,2667,6083
404,791,3667,2500,3000
405,1000,1125,1459,84458
406,171000,1816625,245833,97209
407,959,1898625,7542,5375
408,666,1750,423125,81333
409,834,1334,1791,1541
410,667,5792,3250,1416
411,625,1333,1875,2041
412,708,1375,2167,99000
413,156750,1791,237958,1666
414,333,1208,1667,1125
415,500,542,1625,2625
416,583,1875,2541,1375
417,542,6083,2708,1416
418,625,1125,1875,1042
419,750,500,1667,959
420,417,542,1333,958
421,292,541,1584,1083
422,416,584,1334,1042
423,667,625,1125,1167
424,458,2250,4500,1584
425,708,1166,2625,114916
426,160125,2208,262958,2166
427,542,1416,2125,1791
428,875,1042,3584,5334
429,708,1167,2333,3084
430,1000,1585125,1583,86583
431,147208,1255125,237083,89916
432,152958,2083,234375,1542
433,916,2166,4541,1583
434,417,1125,1875,791
435,667,1083,231000,78125
436,875,1417,2500,1541
437,667,1542,1667,1500
438,792,969000,3375,1334
439,584,2166,2084,1834
440,625,750,1667,1209
441,667,750,1458,1375
442,458,833,1542,1083
443,500,708,1500,1042
444,416,1042,236291,80041
445,875,958,1791,2375
446,458,459,1875,917
447,125,417,875,875
448,542,625,1042,2125
449,583,1625,1375,1334
450,417,2167,2791,1250
