Time,Time Code,Country Name,Country Code,Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
2003,YR2003,Czechia,CZE,73.74,4.11728000640869
2003,YR2003,Denmark,DNK,85.36,8.12193012237549
2003,YR2003,Estonia,EST,68.989,5.27309989929199
2003,YR2003,Finland,FIN,82.638,6.16743993759155
2003,YR2003,France,FRA,76.632,..
2003,YR2003,Germany,DEU,75.577,..
2003,YR2003,Greece,GRC,73.689,3.42933988571167
2003,YR2003,Hungary,HUN,65.489,5.79115009307861
2003,YR2003,Iceland,ISL,92.789,7.24507999420166
2003,YR2003,Ireland,IRL,59.925,4.20493984222412
2003,YR2003,Israel,ISR,91.393,6.34549999237061
2003,YR2003,Italy,ITA,67.501,4.54179000854492
2003,YR2003,Japan,JPN,83.196,3.46662998199463
2003,YR2003,"Korea, Rep.",KOR,80.652,..
2003,YR2003,Latvia,LVA,67.8,5.05714988708496
2003,YR2003,Lithuania,LTU,66.737,5.11418008804321
2003,YR2003,Luxembourg,LUX,85.743,..
2003,YR2003,Mexico,MEX,75.682,5.07257986068726
2003,YR2003,Netherlands,NLD,80.341,5.0404200553894
2003,YR2003,New Zealand,NZL,86.221,6.43753004074097
2003,YR2003,Norway,NOR,77.084,7.41635990142822
2003,YR2003,Poland,POL,61.676,5.32449007034302
2003,YR2003,Portugal,PRT,56.287,5.28152990341187
2003,YR2003,Slovak Republic,SVK,55.863,4.20956993103027
2003,YR2003,Slovenia,SVN,51.082,5.70333003997803
2003,YR2003,Spain,ESP,76.778,4.1734299659729
2003,YR2003,Sweden,SWE,84.196,6.79142999649048
2003,YR2003,Switzerland,CHE,73.427,5.36935997009277
2003,YR2003,Turkiye,TUR,66.602,2.85131001472473
2003,YR2003,United Kingdom,GBR,79.339,4.80573987960815
2003,YR2003,United States,USA,79.583,..
2004,YR2004,Australia,AUS,84.463,..
2004,YR2004,Austria,AUT,59.094,5.30243015289307
2004,YR2004,Belgium,BEL,97.35,..
2004,YR2004,Canada,CAN,80.045,..
2004,YR2004,Chile,CHL,86.725,3.53838992118835
2004,YR2004,Czechia,CZE,73.671,3.99238991737366
2004,YR2004,Denmark,DNK,85.566,8.2076301574707
2004,YR2004,Estonia,EST,68.862,4.87674999237061
2004,YR2004,Finland,FIN,82.772,6.15757989883423
2004,YR2004,France,FRA,76.883,..
2004,YR2004,Germany,DEU,75.779,..
2004,YR2004,Greece,GRC,74.073,3.66719007492065
2004,YR2004,Hungary,HUN,65.896,5.32658004760742
2004,YR2004,Iceland,ISL,92.914,7.16118001937866
2004,YR2004,Ireland,IRL,60.202,4.48296022415161
2004,YR2004,Israel,ISR,91.456,5.94027996063232
2004,YR2004,Italy,ITA,67.62,4.38520002365112
2004,YR2004,Japan,JPN,84.64,3.42611002922058
2004,YR2004,"Korea, Rep.",KOR,81.002,..
2004,YR2004,Latvia,LVA,67.9,4.83406019210815
2004,YR2004,Lithuania,LTU,66.646,5.17428016662598
2004,YR2004,Luxembourg,LUX,86.177,..
2004,YR2004,Mexico,MEX,75.997,4.72670984268188
2004,YR2004,Netherlands,NLD,81.514,5.06297016143799
2004,YR2004,New Zealand,NZL,86.281,6.51203012466431
2004,YR2004,Norway,NOR,77.399,7.2982702255249
2004,YR2004,Poland,POL,61.564,5.35557985305786
2004,YR2004,Portugal,PRT,56.907,5.04638004302979
2004,YR2004,Slovak Republic,SVK,55.713,4.10157012939453
2004,YR2004,Slovenia,SVN,51.308,5.64425992965698
2004,YR2004,Spain,ESP,77.022,4.15785980224609
2004,YR2004,Sweden,SWE,84.258,6.66310977935791
2004,YR2004,Switzerland,CHE,73.452,5.29307985305786
2004,YR2004,Turkiye,TUR,67.225,2.98998999595642
2004,YR2004,United Kingdom,GBR,79.629,4.72940015792847
2004,YR2004,United States,USA,79.757,..
2005,YR2005,Australia,AUS,84.582,4.89851999282837
2005,YR2005,Austria,AUT,58.813,5.24937009811401
2005,YR2005,Belgium,BEL,97.403,5.79585981369019
2005,YR2005,Canada,CAN,80.122,4.76588010787964
2005,YR2005,Chile,CHL,86.783,3.26283001899719
2005,YR2005,Czechia,CZE,73.602,3.86591005325317
2005,YR2005,Denmark,DNK,85.856,8.08557033538818
2005,YR2005,Estonia,EST,68.735,4.81026983261108
2005,YR2005,Finland,FIN,82.905,6.02507019042969
2005,YR2005,France,FRA,77.13,..
2005,YR2005,Germany,DEU,75.98,..
2005,YR2005,Greece,GRC,74.452,3.96395993232727
2005,YR2005,Hungary,HUN,66.365,5.31888008117676
2005,YR2005,Iceland,ISL,93.037,7.33843994140625
2005,YR2005,Ireland,IRL,60.477,4.51898002624512
2005,YR2005,Israel,ISR,91.518,5.75459003448486
2005,YR2005,Italy,ITA,67.738,4.23829984664917
2005,YR2005,Japan,JPN,85.978,3.31493997573853
2005,YR2005,"Korea, Rep.",KOR,81.345,..
2005,YR2005,Latvia,LVA,68,..
2005,YR2005,Lithuania,LTU,66.635,4.87839984893799
2005,YR2005,Luxembourg,LUX,86.598,..
2005,YR2005,Mexico,MEX,76.308,4.84568977355957
2005,YR2005,Netherlands,NLD,82.63,5.10939979553223
2005,YR2005,New Zealand,NZL,86.341,6.27896022796631
2005,YR2005,Norway,NOR,77.675,6.86506986618042
2005,YR2005,Poland,POL,61.452,5.42574977874756
2005,YR2005,Portugal,PRT,57.522,5.07394981384277
2005,YR2005,Slovak Republic,SVK,55.563,3.75995993614197
2005,YR2005,Slovenia,SVN,51.533,5.60408020019531
2005,YR2005,Spain,ESP,77.263,4.14432001113892
2005,YR2005,Sweden,SWE,84.319,6.5064001083374
2005,YR2005,Switzerland,CHE,73.478,5.05740022659302
2005,YR2005,Turkiye,TUR,67.84,..
2005,YR2005,United Kingdom,GBR,79.915,4.92918014526367
2005,YR2005,United States,USA,79.928,..
2006,YR2006,Australia,AUS,84.7,4.74065017700195
2006,YR2006,Austria,AUT,58.532,5.22652006149292
2006,YR2006,Belgium,BEL,97.454,..
2006,YR2006,Canada,CAN,80.213,..
2006,YR2006,Chile,CHL,86.842,3.02152991294861
2006,YR2006,Czechia,CZE,73.533,4.1955099105835
2006,YR2006,Denmark,DNK,86.098,7.72990989685059
2006,YR2006,Estonia,EST,68.607,..
2006,YR2006,Finland,FIN,83.037,5.92838001251221
2006,YR2006,France,FRA,77.377,..
2006,YR2006,Germany,DEU,76.179,4.2939600944519
2006,YR2006,Greece,GRC,74.827,..
2006,YR2006,Hungary,HUN,66.895,5.28811979293823
2006,YR2006,Iceland,ISL,93.159,7.19521999359131
2006,YR2006,Ireland,IRL,60.738,4.54742002487183
2006,YR2006,Israel,ISR,91.58,5.75635004043579
2006,YR2006,Italy,ITA,67.856,4.52545022964478
2006,YR2006,Japan,JPN,87.118,3.27667999267578
2006,YR2006,"Korea, Rep.",KOR,81.528,..
2006,YR2006,Latvia,LVA,67.967,4.68466997146606
2006,YR2006,Lithuania,LTU,66.706,4.82572984695435
2006,YR2006,Luxembourg,LUX,87.009,..
2006,YR2006,Mexico,MEX,76.616,4.69992017745972
2006,YR2006,Netherlands,NLD,83.636,5.04402017593384
2006,YR2006,New Zealand,NZL,86.4,5.95276021957397
2006,YR2006,Norway,NOR,77.95,6.3827600479126
2006,YR2006,Poland,POL,61.341,5.20765018463135
2006,YR2006,Portugal,PRT,58.137,4.90767002105713
2006,YR2006,Slovak Republic,SVK,55.412,3.70770001411438
2006,YR2006,Slovenia,SVN,51.758,5.59066009521484
2006,YR2006,Spain,ESP,77.502,4.1848201751709
2006,YR2006,Sweden,SWE,84.43,6.36429023742676
2006,YR2006,Switzerland,CHE,73.504,4.81757020950317
2006,YR2006,Turkiye,TUR,68.45,2.72806000709534
2006,YR2006,United Kingdom,GBR,80.199,4.97325992584229
2006,YR2006,United States,USA,80.099,..
2007,YR2007,Australia,AUS,84.822,4.65621995925903
2007,YR2007,Austria,AUT,58.249,5.14690017700195
2007,YR2007,Belgium,BEL,97.505,..
2007,YR2007,Canada,CAN,80.396,4.7664098739624
2007,YR2007,Chile,CHL,86.9,3.21378993988037
2007,YR2007,Czechia,CZE,73.463,3.84717988967896
2007,YR2007,Denmark,DNK,86.293,7.61560010910034
2007,YR2007,Estonia,EST,68.479,4.61990976333618
2007,YR2007,Finland,FIN,83.168,5.67125988006592
2007,YR2007,France,FRA,77.621,..
2007,YR2007,Germany,DEU,76.378,4.36679983139038
2007,YR2007,Greece,GRC,75.199,..
2007,YR2007,Hungary,HUN,67.421,5.13345003128052
2007,YR2007,Iceland,ISL,93.278,6.9443302154541
2007,YR2007,Ireland,IRL,60.94,4.71541023254395
2007,YR2007,Israel,ISR,91.641,5.49595022201538
2007,YR2007,Italy,ITA,67.974,4.10503005981445
2007,YR2007,Japan,JPN,88.146,3.27934002876282
2007,YR2007,"Korea, Rep.",KOR,81.631,..
2007,YR2007,Latvia,LVA,67.9,4.63328981399536
2007,YR2007,Lithuania,LTU,66.777,4.59521007537842
2007,YR2007,Luxembourg,LUX,87.409,..
2007,YR2007,Mexico,MEX,76.92,4.69050979614258
2007,YR2007,Netherlands,NLD,84.539,4.88682985305786
2007,YR2007,New Zealand,NZL,86.34,5.91965007781982
2007,YR2007,Norway,NOR,78.234,6.53439998626709
2007,YR2007,Poland,POL,61.229,4.86874008178711
2007,YR2007,Portugal,PRT,58.749,4.92147016525269
2007,YR2007,Slovak Republic,SVK,55.261,3.52321004867554
2007,YR2007,Slovenia,SVN,51.983,5.11661005020142
2007,YR2007,Spain,ESP,77.74,4.25404977798462
2007,YR2007,Sweden,SWE,84.588,6.17158985137939
2007,YR2007,Switzerland,CHE,73.53,4.55798006057739
2007,YR2007,Turkiye,TUR,69.053,..
2007,YR2007,United Kingdom,GBR,80.479,4.90883016586304
2007,YR2007,United States,USA,80.269,..
2008,YR2008,Australia,AUS,84.943,4.63278007507324
2008,YR2008,Austria,AUT,57.966,5.26395988464355
2008,YR2008,Belgium,BEL,97.555,6.33294010162354
2008,YR2008,Canada,CAN,80.578,4.62612009048462
2008,YR2008,Chile,CHL,86.959,3.79242992401123
2008,YR2008,Czechia,CZE,73.394,3.7271900177002
2008,YR2008,Denmark,DNK,86.487,7.47604990005493
2008,YR2008,Estonia,EST,68.351,5.48403978347778
2008,YR2008,Finland,FIN,83.299,5.83010005950928
2008,YR2008,France,FRA,77.868,..
2008,YR2008,Germany,DEU,76.575,4.43594980239868
2008,YR2008,Greece,GRC,75.568,..
2008,YR2008,Hungary,HUN,67.943,4.96611022949219
2008,YR2008,Iceland,ISL,93.395,7.03601980209351
2008,YR2008,Ireland,IRL,61.141,5.45828008651733
2008,YR2008,Israel,ISR,91.702,5.5199499130249
2008,YR2008,Italy,ITA,68.092,4.38794994354248
2008,YR2008,Japan,JPN,89.103,3.27241992950439
2008,YR2008,"Korea, Rep.",KOR,81.733,..
2008,YR2008,Latvia,LVA,67.834,5.36644983291626
2008,YR2008,Lithuania,LTU,66.848,4.83990001678467
2008,YR2008,Luxembourg,LUX,87.8,..
2008,YR2008,Mexico,MEX,77.222,4.82006978988647
2008,YR2008,Netherlands,NLD,85.402,5.02904987335205
2008,YR2008,New Zealand,NZL,86.28,5.51144981384277
2008,YR2008,Norway,NOR,78.526,6.2852201461792
2008,YR2008,Poland,POL,61.116,5.04239988327026
2008,YR2008,Portugal,PRT,59.359,4.69609022140503
2008,YR2008,Slovak Republic,SVK,55.111,3.52165007591248
2008,YR2008,Slovenia,SVN,52.209,5.10951995849609
2008,YR2008,Spain,ESP,77.976,4.52805995941162
2008,YR2008,Sweden,SWE,84.746,6.34455013275146
2008,YR2008,Switzerland,CHE,73.556,4.73192977905273
2008,YR2008,Turkiye,TUR,69.651,..
2008,YR2008,United Kingdom,GBR,80.757,4.88497018814087
2008,YR2008,United States,USA,80.438,..
2009,YR2009,Australia,AUS,85.063,5.08451986312866
2009,YR2009,Austria,AUT,57.683,5.73024988174438
2009,YR2009,Belgium,BEL,97.603,6.45809984207153
2009,YR2009,Canada,CAN,80.758,4.84057998657227
2009,YR2009,Chile,CHL,87.017,4.23064994812012
2009,YR2009,Czechia,CZE,73.324,4.1460599899292
2009,YR2009,Denmark,DNK,86.654,8.44888019561768
2009,YR2009,Estonia,EST,68.223,5.96005010604858
2009,YR2009,Finland,FIN,83.429,6.45955991744995
2009,YR2009,France,FRA,78.117,..
2009,YR2009,Germany,DEU,76.771,4.90951013565063
2009,YR2009,Greece,GRC,75.932,..
2009,YR2009,Hungary,HUN,68.46,4.94466018676758
2009,YR2009,Iceland,ISL,93.511,7.18984985351563
2009,YR2009,Ireland,IRL,61.342,6.15610980987549
2009,YR2009,Israel,ISR,91.763,5.48171997070313
2009,YR2009,Italy,ITA,68.209,4.52371978759766
2009,YR2009,Japan,JPN,89.989,..
2009,YR2009,"Korea, Rep.",KOR,81.835,2.86999988555908
2009,YR2009,Latvia,LVA,67.814,5.52265977859497
2009,YR2009,Lithuania,LTU,66.842,5.58523988723755
2009,YR2009,Luxembourg,LUX,88.178,..
2009,YR2009,Mexico,MEX,77.52,5.18794012069702
2009,YR2009,Netherlands,NLD,86.288,5.43156003952026
2009,YR2009,New Zealand,NZL,86.22,6.28816986083984
2009,YR2009,Norway,NOR,78.815,7.10337018966675
2009,YR2009,Poland,POL,61.004,4.98976993560791
2009,YR2009,Portugal,PRT,59.964,5.56314992904663
2009,YR2009,Slovak Republic,SVK,54.96,4.00641012191772
2009,YR2009,Slovenia,SVN,52.433,5.55496978759766
2009,YR2009,Spain,ESP,78.21,4.91200017929077
2009,YR2009,Sweden,SWE,84.902,6.74971008300781
2009,YR2009,Switzerland,CHE,73.581,4.89041996002197
2009,YR2009,Turkiye,TUR,70.241,..
2009,YR2009,United Kingdom,GBR,81.031,5.04631996154785
2009,YR2009,United States,USA,80.606,..
2010,YR2010,Australia,AUS,85.182,5.54303979873657
2010,YR2010,Austria,AUT,57.399,5.70047998428345
2010,YR2010,Belgium,BEL,97.651,6.44259023666382
2010,YR2010,Canada,CAN,80.937,5.356369972229
2010,YR2010,Chile,CHL,87.074,4.16208982467651
2010,YR2010,Czechia,CZE,73.255,4.03350019454956
2010,YR2010,Denmark,DNK,86.795,8.55955028533936
2010,YR2010,Estonia,EST,68.094,5.51778984069824
2010,YR2010,Finland,FIN,83.77,6.50444984436035
2010,YR2010,France,FRA,78.369,..
2010,YR2010,Germany,DEU,76.966,4.94367980957031
2010,YR2010,Greece,GRC,76.292,..
2010,YR2010,Hungary,HUN,68.911,4.72175979614258
2010,YR2010,Iceland,ISL,93.574,6.9442400932312
2010,YR2010,Ireland,IRL,61.542,6.05136013031006
2010,YR2010,Israel,ISR,91.826,5.51981019973755
2010,YR2010,Italy,ITA,68.327,4.33411979675293
2010,YR2010,Japan,JPN,90.812,3.59951996803284
2010,YR2010,"Korea, Rep.",KOR,81.936,2.83999991416931
2010,YR2010,Latvia,LVA,67.841,5.03881978988647
2010,YR2010,Lithuania,LTU,66.757,5.29786014556885
2010,YR2010,Luxembourg,LUX,88.547,..
2010,YR2010,Mexico,MEX,77.815,5.15922021865845
2010,YR2010,Netherlands,NLD,87.134,5.48908996582031
2010,YR2010,New Zealand,NZL,86.16,7.00039005279541
2010,YR2010,Norway,NOR,79.102,6.74633979797363
2010,YR2010,Poland,POL,60.892,5.0630202293396
2010,YR2010,Portugal,PRT,60.567,5.41248989105225
2010,YR2010,Slovak Republic,SVK,54.685,4.06091022491455
2010,YR2010,Slovenia,SVN,52.658,5.54546022415161
2010,YR2010,Spain,ESP,78.442,4.85608005523682
2010,YR2010,Sweden,SWE,85.056,6.52268981933594
2010,YR2010,Switzerland,CHE,73.607,4.76562976837158
2010,YR2010,Turkiye,TUR,70.825,..
2010,YR2010,United Kingdom,GBR,81.302,5.66824007034302
2010,YR2010,United States,USA,80.772,..
2011,YR2011,Australia,AUS,85.3,5.06995010375977
2011,YR2011,Austria,AUT,57.115,5.59226989746094
2011,YR2011,Belgium,BEL,97.698,6.43199014663696
2011,YR2011,Canada,CAN,81.096,5.26205015182495
2011,YR2011,Chile,CHL,87.132,4.04518985748291
2011,YR2011,Czechia,CZE,73.185,4.24209022521973
2011,YR2011,Denmark,DNK,86.957,8.48486042022705
2011,YR2011,Estonia,EST,67.965,5.01449012756348
2011,YR2011,Finland,FIN,84.313,6.44504976272583
2011,YR2011,France,FRA,78.622,..
2011,YR2011,Germany,DEU,77.16,4.82487010955811
2011,YR2011,Greece,GRC,76.649,..
2011,YR2011,Hungary,HUN,69.358,4.56132984161377
2011,YR2011,Iceland,ISL,93.587,6.78997993469238
2011,YR2011,Ireland,IRL,61.742,5.82904005050659
2011,YR2011,Israel,ISR,91.892,5.54936981201172
2011,YR2011,Italy,ITA,68.444,4.11568021774292
2011,YR2011,Japan,JPN,91.069,3.60527992248535
2011,YR2011,"Korea, Rep.",KOR,81.923,..
2011,YR2011,Latvia,LVA,67.869,5.07161998748779
2011,YR2011,Lithuania,LTU,66.741,5.11343002319336
2011,YR2011,Luxembourg,LUX,88.906,..
2011,YR2011,Mexico,MEX,78.111,5.10564994812012
2011,YR2011,Netherlands,NLD,87.879,5.46303987503052
2011,YR2011,New Zealand,NZL,86.1,6.93969011306763
2011,YR2011,Norway,NOR,79.455,6.4545202255249
2011,YR2011,Poland,POL,60.78,4.82496976852417
2011,YR2011,Portugal,PRT,61.167,5.12333011627197
2011,YR2011,Slovak Republic,SVK,54.42,3.91519999504089
2011,YR2011,Slovenia,SVN,52.883,5.541259765625
2011,YR2011,Spain,ESP,78.673,4.8969202041626
2011,YR2011,Sweden,SWE,85.297,6.36691999435425
2011,YR2011,Switzerland,CHE,73.631,4.815269947052
2011,YR2011,Turkiye,TUR,71.402,..
2011,YR2011,United Kingdom,GBR,81.57,5.55959987640381
2011,YR2011,United States,USA,80.944,..
2012,YR2012,Australia,AUS,85.402,4.86787986755371
2012,YR2012,Austria,AUT,57.147,5.48040008544922
2012,YR2012,Belgium,BEL,97.744,..
2012,YR2012,Canada,CAN,81.137,..
2012,YR2012,Chile,CHL,87.189,..
2012,YR2012,Czechia,CZE,73.197,4.22070980072021
2012,YR2012,Denmark,DNK,87.142,7.23782014846802
2012,YR2012,Estonia,EST,67.974,4.71772003173828
2012,YR2012,Finland,FIN,84.841,7.14803981781006
2012,YR2012,France,FRA,78.878,..
2012,YR2012,Germany,DEU,77.17,4.95658016204834
2012,YR2012,Greece,GRC,77.004,..
2012,YR2012,Hungary,HUN,69.678,4.14111995697021
2012,YR2012,Iceland,ISL,93.6,7.58223009109497
2012,YR2012,Ireland,IRL,61.942,5.75268983840942
2012,YR2012,Israel,ISR,91.96,5.67253017425537
2012,YR2012,Italy,ITA,68.684,4.05601978302002
2012,YR2012,Japan,JPN,91.148,3.64741992950439
2012,YR2012,"Korea, Rep.",KOR,81.851,..
2012,YR2012,Latvia,LVA,67.897,6.58270978927612
