"","year","country_code","pct_GDP_val_add_by_serv","pct_urban_popl","pct_GDP_govt_exp_on_edu"
"1",2000,1,64.3806613653468,84.235,4.88731002807617
"2",2000,2,59.3090153444783,60.213,5.58880996704102
"3",2000,4,61.3006673218433,79.478,5.42331981658936
"4",2000,5,55.6064735933259,86.073,3.77583003044128
"5",2000,6,54.3535171138114,73.988,3.64034008979797
"6",2000,7,60.3445677866397,85.1,8.08434009552002
"7",2000,8,60.5578253447825,69.368,5.33945989608765
"8",2000,9,52.9521701528855,82.183,5.70930004119873
"9",2000,12,65.1508351920359,72.716,3.23019003868103
"10",2000,13,53.2595114459175,64.575,4.86840009689331
"11",2000,14,56.9012940058605,92.401,6.4314398765564
"12",2000,15,55.1420974601026,59.155,4.13225984573364
"13",2000,16,64.7252123638348,91.203,6.11282014846802
"14",2000,17,62.7319377833287,67.222,4.29107999801636
"15",2000,18,66.0206414543262,78.649,3.46011996269226
"16",2000,20,61.4163957434603,68.067,5.27427005767822
"17",2001,24,59.4875285840504,59.934,5.57547998428345
"18",2001,26,62.541468806109,79.81,4.95303010940552
"19",2001,28,54.1519491486651,73.877,3.73283004760742
"20",2001,29,60.8868593279782,85.15,8.21545028686523
"21",2001,30,60.2513013682848,69.242,5.22845983505249
"22",2001,31,54.3096772409215,82.368,5.84025001525879
"23",2001,34,64.4762069802064,72.913,3.36457991600037
"24",2001,35,54.3697260158325,64.67,4.9310097694397
"25",2001,36,56.7794223592616,92.532,6.70592021942139
"26",2001,1,53.0495283717785,59.399,4.08749008178711
"27",2001,2,66.1673680221015,91.267,6.3739800453186
"28",2001,3,63.5240336749948,67.282,4.65009021759033
"29",2001,4,67.0662812781022,79.99,3.40082001686096
"30",2001,6,62.7684207412508,67.95,5.44695997238159
"31",2001,7,57.0462510652807,66.919,5.84758996963501
"32",2001,8,72.8424114534201,84.843,3.53973007202148
"33",2002,10,60.2956964515702,59.655,5.52213001251221
"34",2002,12,63.0157654393488,79.888,4.99308013916016
"35",2002,13,56.35055914484,86.606,4.08121013641357
"36",2002,14,55.5736530381846,73.809,3.95878005027771
"37",2002,15,61.4769243217247,85.25,8.2130298614502
"38",2002,16,59.9623397907084,69.116,5.43460988998413
"39",2002,17,54.9149414759641,82.503,6.01677989959717
"40",2002,20,64.7682822527368,73.303,3.42430996894836
"41",2002,21,55.7430744392277,65.081,5.17923021316528
"42",2002,22,58.9923118124396,92.662,7.29892015457153
"43",2002,23,51.8406807093645,59.649,4.10487985610962
"44",2002,24,65.8553107521618,91.33,6.46506023406982
"45",2002,25,63.7521811557769,67.382,4.43240976333618
"46",2002,26,68.3328608006388,81.647,3.40898990631104
"47",2002,28,63.0566957299618,67.85,5.60254001617432
"48",2002,29,57.8883270610442,66.828,5.80007982254028
"49",2003,31,60.3935712577189,59.375,5.36183023452759
"50",2003,35,55.6800266355176,86.665,3.96345996856689
"51",2003,36,56.6358131818781,73.74,4.11728000640869
"52",2003,1,62.2414099325921,85.36,8.12193012237549
"53",2003,2,59.7142225230107,68.989,5.27309989929199
"54",2003,3,55.1997047756493,82.638,6.16743993759155
"55",2003,6,64.2026378673367,73.689,3.42933988571167
"56",2003,7,55.6683715544175,65.489,5.79115009307861
"57",2003,8,60.2555585276511,92.789,7.24507999420166
"58",2003,9,54.8649876717352,59.925,4.20493984222412
"59",2003,10,66.2446838770733,91.393,6.34549999237061
"60",2003,11,64.611113039054,67.501,4.54179000854492
"61",2003,12,68.7153581340561,83.196,3.46662998199463
"62",2003,14,64.4302274401463,67.8,5.05714988708496
"63",2003,15,57.3205182751996,66.737,5.11418008804321
"64",2004,18,60.3182667785607,59.094,5.30243015289307
"65",2004,21,53.64534841734,86.725,3.53838992118835
"66",2004,22,54.5457970185181,73.671,3.99238991737366
"67",2004,23,61.9929196744025,85.566,8.2076301574707
"68",2004,24,59.5677159065561,68.862,4.87674999237061
"69",2004,25,55.8226986986483,82.772,6.15757989883423
"70",2004,28,65.6019216065694,74.073,3.66719007492065
"71",2004,29,54.4107061048465,65.896,5.32658004760742
"72",2004,30,60.1854512933044,92.914,7.16118001937866
"73",2004,31,55.6088911099172,60.202,4.48296022415161
"74",2004,31,66.6658818150526,91.456,5.94027996063232
"75",2004,33,64.4547513321798,67.62,4.38520002365112
"76",2004,34,68.9896824882617,84.64,3.42611002922058
"77",2004,36,64.1723236670862,67.9,4.83406019210815
"78",2004,1,56.7019905795215,66.646,5.17428016662598
"79",2005,3,64.3624356335626,84.582,4.89851999282837
"80",2005,4,60.5724261845015,58.813,5.24937009811401
"81",2005,5,65.8743326615868,97.403,5.79585981369019
"82",2005,6,62.0334657453398,80.122,4.76588010787964
"83",2005,7,52.1481091980374,86.783,3.26283001899719
"84",2005,8,54.5398543523696,73.602,3.86591005325317
"85",2005,9,61.5873225266807,85.856,8.08557033538818
"86",2005,10,59.0751167873109,68.735,4.81026983261108
"87",2005,11,55.860511151457,82.905,6.02507019042969
"88",2005,14,67.661553736638,74.452,3.96395993232727
"89",2005,15,55.2910818933007,66.365,5.31888008117676
"90",2005,16,60.4675641085058,93.037,7.33843994140625
"91",2005,17,56.7283489883681,60.477,4.51898002624512
"92",2005,18,66.1903726658803,91.518,5.75459003448486
"93",2005,19,64.8175695901135,67.738,4.23829984664917
"94",2005,20,69.4739647063861,85.978,3.31493997573853
"95",2005,23,56.5336583933125,66.635,4.87839984893799
"96",2006,25,63.7086403134502,84.7,4.74065017700195
"97",2006,26,60.7033786497088,58.532,5.22652006149292
"98",2006,29,48.4126070132585,86.842,3.02152991294861
"99",2006,30,54.3914960600485,73.533,4.1955099105835
"100",2006,31,60.9398964996145,86.098,7.72990989685059
"101",2006,33,54.9529488655095,83.037,5.92838001251221
"102",2006,35,62.7234306606068,76.179,4.2939600944519
"103",2006,1,56.1230118340277,66.895,5.28811979293823
"104",2006,2,58.9450974769641,93.159,7.19521999359131
"105",2006,3,56.9183200417932,60.738,4.54742002487183
"106",2006,4,66.1514613375909,91.58,5.75635004043579
"107",2006,5,64.2518182031302,67.856,4.52545022964478
"108",2006,6,69.4497937291725,87.118,3.27667999267578
"109",2006,8,64.5328113481999,67.967,4.68466997146606
"110",2006,9,56.3545504022714,66.706,4.82572984695435
"111",2007,11,64.3180044185668,84.822,4.65621995925903
"112",2007,12,60.3153124870919,58.249,5.14690017700195
"113",2007,14,63.0964212821521,80.396,4.7664098739624
"114",2007,15,49.5481523450583,86.9,3.21378993988037
"115",2007,16,54.2919052641861,73.463,3.84717988967896
"116",2007,17,61.4861661045664,86.293,7.61560010910034
"117",2007,18,57.0638095657341,68.479,4.61990976333618
"118",2007,19,54.6923109818679,83.168,5.67125988006592
"119",2007,21,61.9140245244144,76.378,4.36679983139038
"120",2007,23,55.8411618011419,67.421,5.13345003128052
"121",2007,24,62.7123545624617,93.278,6.9443302154541
"122",2007,25,59.2648667781983,60.94,4.71541023254395
"123",2007,26,65.9369490143644,91.641,5.49595022201538
"124",2007,27,64.1064395366029,67.974,4.10503005981445
"125",2007,28,69.5604171252242,88.146,3.27934002876282
"126",2007,30,64.025572594869,67.9,4.63328981399536
"127",2007,31,56.689979142207,66.777,4.59521007537842
"128",2008,33,64.4616346662119,84.943,4.63278007507324
"129",2008,34,61.0266320776577,57.966,5.26395988464355
"130",2008,35,66.9573617790939,97.555,6.33294010162354
"131",2008,36,62.7344542075025,80.578,4.62612009048462
"132",2008,1,54.4485312368393,86.959,3.79242992401123
"133",2008,2,55.1493991877038,73.394,3.7271900177002
"134",2008,3,62.3366900284927,86.487,7.47604990005493
"135",2008,4,59.5514014147496,68.351,5.48403978347778
"136",2008,5,56.2247445499704,83.299,5.83010005950928
"137",2008,7,62.2231385161536,76.575,4.43594980239868
"138",2008,9,56.473570074543,67.943,4.96611022949219
"139",2008,10,61.474616215099,93.395,7.03601980209351
"140",2008,11,62.5731441921768,61.141,5.45828008651733
"141",2008,12,66.5900720797431,91.702,5.5199499130249
"142",2008,13,64.7279409151643,68.092,4.38794994354248
"143",2008,14,70.2614584639798,89.103,3.27241992950439
"144",2008,16,65.3283734867085,67.834,5.36644983291626
"145",2008,17,57.246401239777,66.848,4.83990001678467
"146",2009,19,64.0694567414643,85.063,5.08451986312866
"147",2009,20,62.1685810384121,57.683,5.73024988174438
"148",2009,21,68.0868743520415,97.603,6.45809984207153
"149",2009,22,66.8690424823749,80.758,4.84057998657227
"150",2009,23,55.5112499818484,87.017,4.23064994812012
"151",2009,24,55.7403295636165,73.324,4.1460599899292
"152",2009,25,65.4425601091589,86.654,8.44888019561768
"153",2009,26,60.8483981155766,68.223,5.96005010604858
"154",2009,27,59.6064859392452,83.429,6.45955991744995
"155",2009,29,64.2285534380328,76.771,4.90951013565063
"156",2009,31,56.8896778861688,68.46,4.94466018676758
"157",2009,31,64.9100700387847,93.511,7.18984985351563
"158",2009,33,63.693503893556,61.342,6.15610980987549
"159",2009,34,67.0845016672748,91.763,5.48171997070313
