"","year","country_code","GDP_per_capita","pct_urban_popl","pct_pop_growth","pct_agri_val_add"
"1",2000,1,21697.7084797731,84.235,1.19227232344832,3.11490323731114
"2",2000,2,24625.6007227434,60.213,0.240466652446524,1.64730021298979
"3",2000,3,23098.8865077401,97.129,0.242517956221334,1.17600527973714
"4",2000,4,24271.0020563821,79.478,0.931281553452429,2.09165300710719
"5",2000,5,5100.25413288222,86.073,1.17718527887184,5.08296243051118
"6",2000,6,6029.03819275358,73.988,-0.280414108078884,3.25052833080989
"7",2000,7,30743.5476816354,85.1,0.334233618829261,2.151853225624
"8",2000,8,4070.60902410208,69.368,0.483707161729931,3.88500958820541
"9",2000,9,24345.9148217032,82.183,0.2076065154133,2.95363597719177
"10",2000,10,22419.6948211313,75.871,0.684945783642239,2.0983575513075
"11",2000,NA,12072.9293569196,72.716,0.409041838238246,5.43524818135254
"12",2000,NA,23694.7604830673,74.965,0.135431600393084,0.994789221891906
"13",2000,11,4624.28165670295,64.575,-0.259764908288633,4.93445987752074
"14",2000,12,32096.3722613695,92.401,1.36919283329812,7.00385857422343
"15",2000,13,26334.5672050501,59.155,1.33304266586712,2.50492903890048
"16",2000,14,21061.4822833993,91.203,2.64233191305756,1.33047150849241
"17",2000,15,20137.5912217673,67.222,0.045303631138613,2.56361411951499
"18",2000,16,39169.3595701504,78.649,0.167275578113187,1.5178803390325
"19",2000,17,12256.9935679503,79.621,0.836180864297766,3.8577920379894
"20",2000,18,3361.64086880275,68.067,-0.963935407092365,4.4653191603977
"21",2000,NA,48659.5988753233,84.216,1.34408299573143,0.596866957478124
"22",2000,NA,3293.22997867086,66.986,-0.703385440488978,5.58605077769058
"23",2000,19,7157.81449985734,74.722,1.4410967038977,3.32308631189687
"24",2000,20,26214.498549887,76.795,0.714770362784392,2.29863696801156
"25",2000,21,13641.1027183822,86.021,0.587564086381346,7.75290180992832
"26",2000,22,38131.4606116242,76.02,0.649044821192665,1.82301531961815
"27",2000,23,4501.45406742273,61.716,-1.04433539837844,3.12672432106006
"28",2000,24,11526.3720667968,54.399,0.702859953319024,3.10974828415915
"29",2000,25,5426.62428119306,56.233,-0.135376487794425,1.71030559393339
"30",2000,26,10201.3035366727,50.754,0.29607496005045,3.08556322926251
"31",2000,27,14749.6874248766,76.262,0.447137014535835,3.74530563354845
"32",2000,28,29624.9126748618,84.026,0.160575484575313,1.94285989541354
"33",2000,29,38952.0342005572,73.383,0.561954617400164,1.05153529982011
"34",2000,30,4337.47800296354,64.741,1.51810979845438,10.0328526543258
"35",2000,31,28223.0675706515,78.651,0.357300887421605,0.850705507510241
"36",2000,31,36329.9560727102,79.057,1.11276899679534,1.15055536360653
"37",2001,33,19527.3235767954,84.1,1.34835834227145,3.50219780997615
"38",2001,34,24558.7636778868,59.934,0.382799394483217,1.67070339573168
"39",2001,35,23015.0712632462,97.186,0.343951157623668,1.10935029767163
"40",2001,36,23822.0601178964,79.81,1.08635096562717,2.11789067175753
"41",2001,1,4609.21396034224,86.363,1.12619894374837,4.06242026416145
"42",2001,2,6637.04165713981,73.877,-0.375719704335905,3.20352708630753
"43",2001,3,30751.654348268,85.15,0.358315678955486,2.33950941505079
"44",2001,4,4505.85833233188,69.242,-0.63696312445507,3.49396864407665
"45",2001,5,24967.7925153182,82.368,0.227687341886374,2.76433332411428
"46",2001,6,22452.9823753273,76.127,0.727789664461319,2.10700819139254
"47",2001,NA,12549.036894906,72.913,0.51988446396193,5.20270209625701
"48",2001,NA,23628.3272122367,75.17,0.168225361337335,1.08343229583805
"49",2001,7,5276.03318905496,64.67,-0.229379183308447,4.91438887698312
"50",2001,8,28897.4439396908,92.532,1.32929525456819,7.48486716532358
"51",2001,9,28282.409882073,59.399,1.59215149039299,1.99385983232223
"52",2001,10,20316.2480483237,91.267,2.35711729946802,1.53744213546385
"53",2001,11,20500.9543995672,67.282,0.0561676014374784,2.48963145584114
"54",2001,12,34406.1824638092,79.99,0.240952587521069,1.36750619152798
"55",2001,13,11561.2483689073,79.94,0.767241774760276,3.56581902129398
"56",2001,14,3578.00190041351,67.95,-1.29148694354873,4.41345812396173
"57",2001,NA,48440.1420151355,84.843,1.19045634528707,0.560287361469729
"58",2001,NA,3525.79363185461,66.919,-0.824008723044179,4.87429863580582
"59",2001,15,7544.56872335784,75.045,1.40395986845276,3.40326534775438
"60",2001,16,26896.5481111196,77.83,0.754840057734904,2.22461562086905
"61",2001,17,13882.8568268586,86.1,0.589286034969052,7.98138479706632
"62",2001,18,38542.715099709,76.378,0.506046910557235,1.58869172655478
"63",2001,19,4991.24435799511,61.761,-0.0275871247282958,3.25341501737577
"64",2001,20,11734.7649743954,55.044,0.705230637323876,2.96074957358316
"65",2001,21,5722.1681828083,56.163,-0.18301227099618,2.12021767859932
"66",2001,22,10479.7596309273,50.78,0.157498742047657,2.78807125237532
"67",2001,23,15369.0011599444,76.343,0.694068084334464,3.67764014761916
"68",2001,24,27247.857734793,84.071,0.268470527954234,1.94493737546086
"69",2001,25,39727.8466713883,73.375,0.632771238018431,0.91885973243129
"70",2001,26,3142.92099774582,65.34,1.49422662100438,8.78803796915921
"71",2001,27,27806.4488245133,78.751,0.384975969564228,0.782120850455726
"72",2001,28,37133.623113437,79.234,0.989741382223669,1.1292569744094
"73",2002,29,20117.7888912664,84.222,1.22056378534358,3.94915687175001
"74",2002,30,26527.5930910347,59.655,0.49198046425522,1.56277441149196
"75",2002,31,25006.191397109,97.241,0.448268894821562,1.03313414275776
"76",2002,31,24255.3385818322,79.888,1.08744792718674,1.98762322116267
