Time,Time Code,Country Name,Country Code,"Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
2002,YR2002,Canada,CAN,63.0157654393488,79.888,4.99308013916016
2002,YR2002,Chile,CHL,56.35055914484,86.606,4.08121013641357
2002,YR2002,Czechia,CZE,55.5736530381846,73.809,3.95878005027771
2002,YR2002,Denmark,DNK,61.4769243217247,85.25,8.2130298614502
2002,YR2002,Estonia,EST,59.9623397907084,69.116,5.43460988998413
2002,YR2002,Finland,FIN,54.9149414759641,82.503,6.01677989959717
2002,YR2002,France,FRA,67.4136194766565,76.38,..
2002,YR2002,Germany,DEU,63.1218950739723,75.374,..
2002,YR2002,Greece,GRC,64.7682822527368,73.303,3.42430996894836
2002,YR2002,Hungary,HUN,55.7430744392277,65.081,5.17923021316528
2002,YR2002,Iceland,ISL,58.9923118124396,92.662,7.29892015457153
2002,YR2002,Ireland,IRL,51.8406807093645,59.649,4.10487985610962
2002,YR2002,Israel,ISR,65.8553107521618,91.33,6.46506023406982
2002,YR2002,Italy,ITA,63.7521811557769,67.382,4.43240976333618
2002,YR2002,Japan,JPN,68.3328608006388,81.647,3.40898990631104
2002,YR2002,"Korea, Rep.",KOR,53.607233364677,80.299,..
2002,YR2002,Latvia,LVA,63.0566957299618,67.85,5.60254001617432
2002,YR2002,Lithuania,LTU,57.8883270610442,66.828,5.80007982254028
2002,YR2002,Luxembourg,LUX,72.8571768991792,85.299,..
2002,YR2002,Netherlands,NLD,66.250147165346,79.113,4.80590009689331
2002,YR2002,New Zealand,NZL,63.2063677587827,86.161,6.40699005126953
2002,YR2002,Norway,NOR,53.4862968329804,76.733,7.43729019165039
2002,YR2002,Poland,POL,58.8581334475889,61.787,5.38735008239746
2002,YR2002,Portugal,PRT,61.2706783802039,55.666,5.25871992111206
2002,YR2002,Slovak Republic,SVK,58.1505377784326,56.013,4.24539995193481
2002,YR2002,Slovenia,SVN,54.3882517082215,50.857,5.67286014556885
2002,YR2002,Spain,ESP,59.9213930454458,76.533,4.13457012176514
2002,YR2002,Sweden,SWE,61.1749981526639,84.133,6.92434978485107
2002,YR2002,Switzerland,CHE,68.789211733323,73.401,5.16421985626221
2002,YR2002,United Kingdom,GBR,67.658459460186,79.047,4.6285400390625
2002,YR2002,United States,USA,74.863701241708,79.409,..
2002,YR2002,Mexico,MEX,58.845208018069,75.365,4.45495986938477
2002,YR2002,Turkiye,TUR,53.5749148595731,65.974,2.72806000709534
2003,YR2003,Australia,AUS,64.3058653474723,84.343,..
2003,YR2003,Austria,AUT,60.3935712577189,59.375,5.36183023452759
2003,YR2003,Belgium,BEL,65.312044586028,97.296,..
2003,YR2003,Canada,CAN,62.9236129817923,79.967,..
2003,YR2003,Chile,CHL,55.6800266355176,86.665,3.96345996856689
2003,YR2003,Czechia,CZE,56.6358131818781,73.74,4.11728000640869
2003,YR2003,Denmark,DNK,62.2414099325921,85.36,8.12193012237549
2003,YR2003,Estonia,EST,59.7142225230107,68.989,5.27309989929199
2003,YR2003,Finland,FIN,55.1997047756493,82.638,6.16743993759155
2003,YR2003,France,FRA,68.0582044391678,76.632,..
2003,YR2003,Germany,DEU,63.2572787657637,75.577,..
2003,YR2003,Greece,GRC,64.2026378673367,73.689,3.42933988571167
2003,YR2003,Hungary,HUN,55.6683715544175,65.489,5.79115009307861
2003,YR2003,Iceland,ISL,60.2555585276511,92.789,7.24507999420166
2003,YR2003,Ireland,IRL,54.8649876717352,59.925,4.20493984222412
2003,YR2003,Israel,ISR,66.2446838770733,91.393,6.34549999237061
2003,YR2003,Italy,ITA,64.611113039054,67.501,4.54179000854492
2003,YR2003,Japan,JPN,68.7153581340561,83.196,3.46662998199463
2003,YR2003,"Korea, Rep.",KOR,53.8712747726499,80.652,..
2003,YR2003,Latvia,LVA,64.4302274401463,67.8,5.05714988708496
2003,YR2003,Lithuania,LTU,57.3205182751996,66.737,5.11418008804321
2003,YR2003,Luxembourg,LUX,72.8090213829589,85.743,..
2003,YR2003,Netherlands,NLD,66.5934751662409,80.341,5.0404200553894
2003,YR2003,New Zealand,NZL,63.904997854701,86.221,6.43753004074097
2003,YR2003,Norway,NOR,53.9156633941509,77.084,7.41635990142822
2003,YR2003,Poland,POL,58.0441290346951,61.676,5.32449007034302
2003,YR2003,Portugal,PRT,62.1676720966224,56.287,5.28152990341187
2003,YR2003,Slovak Republic,SVK,56.5224342878981,55.863,4.20956993103027
2003,YR2003,Slovenia,SVN,55.0303606140611,51.082,5.70333003997803
2003,YR2003,Spain,ESP,59.8760261559134,76.778,4.1734299659729
2003,YR2003,Sweden,SWE,61.6475146945628,84.196,6.79142999649048
2003,YR2003,Switzerland,CHE,69.365976709269,73.427,5.36935997009277
2003,YR2003,United Kingdom,GBR,68.2563076898656,79.339,4.80573987960815
2003,YR2003,United States,USA,74.6040993391519,79.583,..
2003,YR2003,Mexico,MEX,60.424391338678,75.682,5.07257986068726
2003,YR2003,Turkiye,TUR,53.142415456869,66.602,2.85131001472473
2004,YR2004,Australia,AUS,64.2820493516872,84.463,..
2004,YR2004,Austria,AUT,60.3182667785607,59.094,5.30243015289307
2004,YR2004,Belgium,BEL,65.24479338804,97.35,..
2004,YR2004,Canada,CAN,62.4043589843411,80.045,..
2004,YR2004,Chile,CHL,53.64534841734,86.725,3.53838992118835
2004,YR2004,Czechia,CZE,54.5457970185181,73.671,3.99238991737366
2004,YR2004,Denmark,DNK,61.9929196744025,85.566,8.2076301574707
2004,YR2004,Estonia,EST,59.5677159065561,68.862,4.87674999237061
2004,YR2004,Finland,FIN,55.8226986986483,82.772,6.15757989883423
2004,YR2004,France,FRA,68.1653784376817,76.883,..
2004,YR2004,Germany,DEU,63.2366122730407,75.779,..
2004,YR2004,Greece,GRC,65.6019216065694,74.073,3.66719007492065
2004,YR2004,Hungary,HUN,54.4107061048465,65.896,5.32658004760742
2004,YR2004,Iceland,ISL,60.1854512933044,92.914,7.16118001937866
2004,YR2004,Ireland,IRL,55.6088911099172,60.202,4.48296022415161
2004,YR2004,Israel,ISR,66.6658818150526,91.456,5.94027996063232
2004,YR2004,Italy,ITA,64.4547513321798,67.62,4.38520002365112
2004,YR2004,Japan,JPN,68.9896824882617,84.64,3.42611002922058
2004,YR2004,"Korea, Rep.",KOR,53.0969821645741,81.002,..
2004,YR2004,Latvia,LVA,64.1723236670862,67.9,4.83406019210815
2004,YR2004,Lithuania,LTU,56.7019905795215,66.646,5.17428016662598
2004,YR2004,Luxembourg,LUX,72.9001733879492,86.177,..
2004,YR2004,Netherlands,NLD,66.7094916547953,81.514,5.06297016143799
2004,YR2004,New Zealand,NZL,63.890811922955,86.281,6.51203012466431
2004,YR2004,Norway,NOR,52.424257720048,77.399,7.2982702255249
2004,YR2004,Poland,POL,56.391820304772,61.564,5.35557985305786
2004,YR2004,Portugal,PRT,62.6132527590374,56.907,5.04638004302979
2004,YR2004,Slovak Republic,SVK,54.8893004373234,55.713,4.10157012939453
2004,YR2004,Slovenia,SVN,55.048935708381,51.308,5.64425992965698
2004,YR2004,Spain,ESP,60.0966679349388,77.022,4.15785980224609
2004,YR2004,Sweden,SWE,61.9714408270246,84.258,6.66310977935791
2004,YR2004,Switzerland,CHE,69.604726794078,73.452,5.29307985305786
2004,YR2004,United Kingdom,GBR,68.8906444309209,79.629,4.72940015792847
2004,YR2004,United States,USA,74.1637865273611,79.757,..
2004,YR2004,Mexico,MEX,59.3882212786931,75.997,4.72670984268188
2004,YR2004,Turkiye,TUR,53.0813289799716,67.225,2.98998999595642
2005,YR2005,Australia,AUS,64.3624356335626,84.582,4.89851999282837
2005,YR2005,Austria,AUT,60.5724261845015,58.813,5.24937009811401
2005,YR2005,Belgium,BEL,65.8743326615868,97.403,5.79585981369019
2005,YR2005,Canada,CAN,62.0334657453398,80.122,4.76588010787964
2005,YR2005,Chile,CHL,52.1481091980374,86.783,3.26283001899719
2005,YR2005,Czechia,CZE,54.5398543523696,73.602,3.86591005325317
2005,YR2005,Denmark,DNK,61.5873225266807,85.856,8.08557033538818
2005,YR2005,Estonia,EST,59.0751167873109,68.735,4.81026983261108
2005,YR2005,Finland,FIN,55.860511151457,82.905,6.02507019042969
2005,YR2005,France,FRA,68.5274122900156,77.13,..
2005,YR2005,Germany,DEU,63.3645790998597,75.98,..
2005,YR2005,Greece,GRC,67.661553736638,74.452,3.96395993232727
2005,YR2005,Hungary,HUN,55.2910818933007,66.365,5.31888008117676
2005,YR2005,Iceland,ISL,60.4675641085058,93.037,7.33843994140625
2005,YR2005,Ireland,IRL,56.7283489883681,60.477,4.51898002624512
2005,YR2005,Israel,ISR,66.1903726658803,91.518,5.75459003448486
2005,YR2005,Italy,ITA,64.8175695901135,67.738,4.23829984664917
2005,YR2005,Japan,JPN,69.4739647063861,85.978,3.31493997573853
2005,YR2005,"Korea, Rep.",KOR,53.878916427611,81.345,..
2005,YR2005,Latvia,LVA,64.9961133866382,68,..
2005,YR2005,Lithuania,LTU,56.5336583933125,66.635,4.87839984893799
2005,YR2005,Luxembourg,LUX,73.9922867769233,86.598,..
2005,YR2005,Netherlands,NLD,66.3200715941498,82.63,5.10939979553223
2005,YR2005,New Zealand,NZL,64.3076772003903,86.341,6.27896022796631
2005,YR2005,Norway,NOR,49.8567076066326,77.675,6.86506986618042
2005,YR2005,Poland,POL,56.3222719150354,61.452,5.42574977874756
