"","year","country_code","gdp_per_capita","pct_urban_popl","pct_pop_growth","pct_arable_land"
"1",2000,NA,24625.6007227434,60.213,0.240466652446524,16.9534658264663
"2",2000,NA,21697.7084797731,84.235,1.19227232344832,3.05546516017339
"3",2000,1,23098.8865077401,97.129,0.242517956221334,28.4676354029062
"4",2000,2,24271.0020563821,79.478,0.931281553452429,4.56980522196531
"5",2000,3,5100.25413288222,86.073,1.17718527887184,2.35363104748686
"6",2000,4,6029.03819275358,73.988,-0.280414108078884,41.9697165782322
"7",2000,5,30743.5476816354,85.1,0.334233618829261,57.025
"8",2000,6,4070.60902410208,69.368,0.483707161729931,19.8867657466384
"9",2000,7,24345.9148217032,82.183,0.2076065154133,7.18375521192423
"10",2000,8,22419.6948211313,75.871,0.684945783642239,33.5199162842173
"11",2000,9,23694.7604830673,74.965,0.135431600393084,33.8271958733343
"12",2000,10,12072.9293569196,72.716,0.409041838238246,21.2645461598138
"13",2000,11,4624.28165670295,64.575,-0.259764908288633,51.3501450569069
"14",2000,12,32096.3722613695,92.401,1.36919283329812,1.28678304239401
"15",2000,13,26334.5672050501,59.155,1.33304266586712,5.67861808680505
"16",2000,14,21061.4822833993,91.203,2.64233191305756,15.6192236598891
"17",2000,NA,39169.3595701504,78.649,0.167275578113187,12.2743484224966
"18",2000,NA,20137.5912217673,67.222,0.045303631138613,28.672586721133
"19",2000,15,12256.9935679503,79.621,0.836180864297766,17.8104913953971
"20",2000,16,3361.64086880275,68.067,-0.963935407092365,15.588088771755
"21",2000,17,3293.22997867086,66.986,-0.703385440488978,45.9157626037013
"22",2000,18,48659.5988753233,84.216,1.34408299573143,24.0827202597826
"23",2000,19,7157.81449985734,74.722,1.4410967038977,11.78271046066
"24",2000,20,26214.498549887,76.795,0.714770362784392,30.2932464454976
"25",2000,21,13641.1027183822,86.021,0.587564086381346,5.69670730317876
"26",2000,22,38131.4606116242,76.02,0.649044821192665,2.40661037552978
"27",2000,23,4501.45406742273,61.716,-1.04433539837844,45.6854614907441
"28",2000,24,11526.3720667968,54.399,0.702859953319024,19.1286338797814
"29",2000,25,5426.62428119306,56.233,-0.135376487794425,31.7671517671518
"30",2000,26,10201.3035366727,50.754,0.29607496005045,8.58987090367428
"31",2000,27,14749.6874248766,76.262,0.447137014535835,26.8537074148297
"32",2000,NA,38952.0342005572,73.383,0.561954617400164,10.3430826839389
"33",2000,NA,29624.9126748618,84.026,0.160575484575313,6.38116049086303
"34",2000,28,4337.47800296354,64.741,1.51810979845438,30.9577329366059
"35",2000,NA,36329.9560727102,79.057,1.11276899679534,19.1409660857113
"36",2000,NA,28223.0675706515,78.651,0.357300887421605,24.2880171950564
"37",2001,NA,24558.7636778868,59.934,0.382799394483217,16.8080465341735
"38",2001,NA,19527.3235767954,84.1,1.34835834227145,3.15009827785949
"39",2001,29,23015.0712632462,97.186,0.343951157623668,27.9062087186262
"40",2001,30,23822.0601178964,79.81,1.08635096562717,4.56723985816884
"41",2001,31,4609.21396034224,86.363,1.12619894374837,2.35363104748686
"42",2001,31,6637.04165713981,73.877,-0.375719704335905,41.8791251455934
"43",2001,33,30751.654348268,85.15,0.358315678955486,57.3
"44",2001,34,4505.85833233188,69.242,-0.63696312445507,15.9707478178816
"45",2001,35,24967.7925153182,82.368,0.227687341886374,7.20082734167241
"46",2001,36,22452.9823753273,76.127,0.727789664461319,33.5043930697065
"47",2001,1,23628.3272122367,75.17,0.168225361337335,33.8578389223273
"48",2001,2,12549.036894906,72.913,0.51988446396193,21.1016291698991
"49",2001,3,5276.03318905496,64.67,-0.229379183308447,51.3947779513501
"50",2001,4,28897.4439396908,92.532,1.32929525456819,1.28678304239401
"51",2001,5,28282.409882073,59.399,1.59215149039299,7.39149368558572
"52",2001,6,20316.2480483237,91.267,2.35711729946802,15.8040665434381
"53",2001,NA,34406.1824638092,79.99,0.240952587521069,12.1920438957476
"54",2001,NA,20500.9543995672,67.282,0.0561676014374784,28.1991627158306
"55",2001,7,11561.2483689073,79.94,0.767241774760276,17.4591689063469
"56",2001,8,3578.00190041351,67.95,-1.29148694354873,15.3952464364343
"57",2001,9,3525.79363185461,66.919,-0.824008723044179,26.0210593490747
"58",2001,10,48440.1420151355,84.843,1.19045634528707,24.0827202597826
"59",2001,11,7544.56872335784,75.045,1.40395986845276,11.9092569253324
"60",2001,12,26896.5481111196,77.83,0.754840057734904,29.8815165876777
"61",2001,13,13882.8568268586,86.1,0.589286034969052,5.69670730317876
"62",2001,14,38542.715099709,76.378,0.506046910557235,2.41208616705545
"63",2001,15,4991.24435799511,61.761,-0.0275871247282958,44.350125697868
"64",2001,16,11734.7649743954,55.044,0.705230637323876,17.7984699453552
"65",2001,17,5722.1681828083,56.163,-0.18301227099618,29.97920997921
"66",2001,18,10479.7596309273,50.78,0.157498742047657,8.58987090367428
"67",2001,19,15369.0011599444,76.343,0.694068084334464,26.2055684827088
"68",2001,NA,39727.8466713883,73.375,0.632771238018431,10.3585254155808
"69",2001,NA,27247.857734793,84.071,0.268470527954234,6.57632928977951
"70",2001,20,3142.92099774582,65.34,1.49422662100438,30.9252497953562
"71",2001,NA,37133.623113437,79.234,0.989741382223669,19.1444588033949
"72",2001,NA,27806.4488245133,78.751,0.384975969564228,23.3579961145786
"73",2002,NA,26527.5930910347,59.655,0.49198046425522,16.7838099854581
"74",2002,NA,20117.7888912664,84.222,1.22056378534358,3.08956952995848
"75",2002,21,25006.191397109,97.241,0.448268894821562,27.4768824306473
"76",2002,22,24255.3385818322,79.888,1.08744792718674,4.5300978518982
