-2000,7,14,20,24,27,38,50,74,95,145,156,251,326,413,521,889,1355,1872,2751,4262,5972,8408,12565,17118,23544,33125,43060,58964,75773,100279,129821,174166,211219,257547,288857,308387,313294,322221,309985,297762,276242,259483,229964,173771,156398,153029,133613,
-1975,6,7,11,19,31,31,38,60,91,133,163,194,280,380,559,862,1375,2084,2900,4460,6367,8809,12554,17924,24721,34600,44586,61198,78137,103980,132093,175935,215200,264104,298197,317172,317521,325676,314310,304488,278371,255470,228355,171355,154071,155965,135975,
-1950,3,5,14,13,28,28,65,61,71,109,179,217,229,375,610,932,1511,2035,3277,4540,6804,9293,12742,18653,25622,35715,47053,63829,81586,106565,136913,182965,224119,270120,308036,325067,321925,330092,322168,306361,275410,260524,230651,173784,153527,154813,136358,
-1925,4,14,18,22,32,47,44,61,93,127,176,224,290,466,636,973,1469,2106,3237,4776,6730,9944,13296,19316,26921,37158,48572,64358,83434,109319,141378,189237,229336,277543,311536,330164,323137,334658,326806,311368,276027,260605,228705,173573,156060,155492,137423,
-1900,8,13,23,31,33,36,74,86,101,127,204,230,339,477,681,985,1502,2348,3424,5009,6817,9946,14162,19792,28333,38724,51347,68048,87585,114781,146312,195463,240880,281347,316365,336681,331221,336999,332293,308370,272913,263292,226202,174634,154924,156712,139453,
-1875,5,8,13,19,37,50,73,96,123,153,203,285,337,480,663,1037,1537,2388,3715,5043,7204,10482,14874,20726,29429,39548,52182,69398,90627,118394,147918,202034,246113,283453,318668,343735,335812,341436,337394,313640,273069,264108,223659,178421,154469,156109,136682,
-1850,3,7,9,15,34,39,62,81,133,158,227,273,393,575,759,1160,1827,2549,4010,5474,7558,11253,15887,21306,29825,40551,54820,72756,94636,121995,153572,205461,253685,288926,327655,352373,344690,343851,342154,318698,270425,269097,223551,184286,152807,153150,138181,
-1825,5,13,20,26,42,48,49,89,125,183,203,289,364,677,881,1299,1921,2714,4060,5820,7999,11872,16653,22544,30729,41740,56953,75313,98071,127669,159096,209574,254302,293087,334897,358455,354462,347762,344044,322222,272743,272127,223934,182197,153903,154273,140646,
-1800,10,20,24,32,37,40,60,72,110,135,219,316,460,676,971,1352,1956,2886,4261,6251,8590,12491,17804,23759,32226,43953,59431,77875,101859,131976,165183,216868,261020,301775,340160,365294,360559,352000,342077,329237,273463,271503,227452,183430,152897,154716,140390,
-1775,8,9,18,23,36,49,61,87,109,194,257,374,472,677,1018,1569,2116,3126,4528,6662,9047,13191,17948,25142,33477,44804,62160,81521,105243,135536,173049,224949,266408,308374,344180,363052,361294,355307,341059,328957,274977,274531,232031,184212,151410,153588,140741,
-1750,2,12,16,21,37,31,61,64,131,192,254,299,416,641,1025,1488,2164,3357,4614,6915,9340,13817,18840,26494,35345,46830,63966,84211,108847,139552,180166,228238,275374,317166,357425,369269,370591,363670,346382,334141,280709,275566,235318,184961,152733,154417,137298,
-1725,12,7,17,19,23,30,53,95,125,205,248,318,440,624,1053,1478,2167,3423,4941,7133,9917,14676,19741,27588,35932,48477,66500,86877,114156,142225,185921,233963,284263,325947,359925,370643,377451,368557,345619,331734,283341,275235,233788,184139,155036,153125,135953,
-1700,8,22,16,24,35,52,75,89,154,182,285,383,488,698,1089,1648,2442,3608,5134,7479,10518,15536,20629,28939,37682,51281,69111,89718,119357,148728,194329,237287,291369,334629,370986,376924,382047,379159,351181,330738,288447,276624,236535,183621,156274,148661,139623,
-1675,7,14,29,36,50,46,84,114,141,194,308,428,616,875,1200,1681,2544,3605,5425,8008,11061,15848,21544,29979,39256,52433,71127,92844,124355,153843,197162,244394,303175,343058,375671,381584,385898,382679,353208,328835,286423,282945,233204,186556,158419,147116,135266,
-1650,8,22,27,45,56,69,95,112,160,231,334,459,654,889,1307,1900,2900,4105,5949,8259,11676,17032,22690,31666,41569,54315,74049,97111,129913,161767,205590,255871,309563,354185,384853,390726,389500,390146,353289,333330,286206,281844,229770,187822,161878,147419,134419,
-1625,10,19,40,47,73,84,101,145,222,281,334,501,774,1028,1487,2068,2951,4261,6036,8649,12268,17625,23484,32719,42793,57708,75446,100445,131965,166396,212402,263755,317340,365489,391037,400147,388631,398968,360372,333203,286731,277489,226635,186978,166677,144909,134076,
-1600,10,19,22,32,71,84,114,165,224,283,360,510,721,1028,1557,2282,3132,4702,6547,9205,13284,18469,24925,34322,45680,59905,79753,105220,138596,172758,219219,271581,328792,376553,396094,402425,395130,406248,360750,333330,285219,276595,223974,190460,168776,145131,136986,
-1575,11,23,40,47,60,74,104,150,205,258,404,547,759,1144,1552,2315,3313,4812,6821,9863,13969,18981,25471,36415,47536,63227,82483,109175,141451,179106,228950,281750,334519,382991,403222,411536,401166,407074,370913,334295,287531,271052,223287,194187,170216,149964,140301,
-1550,14,23,31,44,64,70,117,120,193,297,402,564,728,1113,1717,2314,3426,4985,7212,10344,14440,20384,27361,36871,50598,66907,85479,114284,147908,187577,237345,289128,344861,397796,409285,426193,404956,410380,371411,334443,289668,273200,227131,196812,174160,149567,140442,
-1525,12,31,39,53,71,78,119,181,226,318,443,551,857,1208,1843,2487,3539,4969,7508,10922,15085,20708,28495,39053,52309,69681,88638,120035,152434,192352,247574,299262,351657,410506,416869,431040,402802,403527,372409,331300,291549,270560,226961,200629,179698,148714,142826,
-1500,10,21,33,42,62,83,118,158,198,311,403,571,926,1270,1862,2581,3776,5561,7831,11216,16368,22007,30231,40492,55032,72289,93448,124721,158546,202998,257224,307421,359320,422379,427569,437153,411597,408804,381745,337658,298912,267224,226653,200917,179916,150148,145230,
-1475,10,16,29,37,69,77,118,139,212,274,379,511,826,1292,1799,2694,3893,5315,8173,11441,16891,22743,32607,42879,57209,74689,96650,128101,163441,211361,266981,315443,367520,431614,434859,442104,413805,414631,384213,338980,298642,267393,228451,200823,176609,152637,142563,
