month,h,DeltaT,varI,covI,varrtn,lambda,prevLambda,R2
2019-06,60,1,0.04279629,0.2503271,10.80177,5.849271,6.275525,0.1348348
2019-06,60,15,0.5757468,2.691062,129.6125,4.674037,4.684562,0.09704358
2019-06,60,60,1.990606,7.137489,378.2171,3.585587,3.553323,0.0676596
2019-07,1,1,0.03455389,0.1559409,10.59988,4.512977,4.64806,0.06633352
2019-07,1,15,0.05623344,0.2406315,128.693,4.279153,4.166655,0.007995671
2019-07,1,60,0.04975043,0.2818806,371.6477,5.665894,5.540914,0.004295274
2019-07,5,1,0.04135305,0.2319877,10.59988,5.609929,5.76548,0.1226839
2019-07,5,15,0.2293667,1.280508,128.693,5.582798,5.387947,0.0554817
2019-07,5,60,0.2554961,1.498721,371.6477,5.865924,5.603145,0.02360768
2019-07,30,1,0.04369312,0.2506232,10.59988,5.735987,5.874652,0.1355422
2019-07,30,15,0.5163814,2.629889,128.693,5.092919,4.994586,0.1040369
2019-07,30,60,1.424349,6.032984,371.6477,4.235609,4.100179,0.06868667
2019-07,60,1,0.04419321,0.2524634,10.59988,5.712719,5.849271,0.1359854
2019-07,60,15,0.601466,2.849345,128.693,4.737333,4.674037,0.1048688
2019-07,60,60,2.124761,7.824738,371.6477,3.682644,3.585587,0.07748119
2019-08,1,1,0.04588204,0.2170879,17.9404,4.731436,4.512977,0.05713071
2019-08,1,15,0.07698702,0.3504775,221.5101,4.552423,4.279153,0.007176976
2019-08,1,60,0.06877378,0.3633656,688.8404,5.28349,5.665894,0.002772458
2019-08,5,1,0.05507482,0.3259589,17.9404,5.918474,5.609929,0.1072404
2019-08,5,15,0.327696,1.827733,221.5101,5.577526,5.582798,0.04602146
2019-08,5,60,0.3755961,2.04925,688.8404,5.455994,5.865924,0.01613956
2019-08,30,1,0.05851094,0.3524259,17.9404,6.023248,5.735987,0.1180531
2019-08,30,15,0.7650909,3.749996,221.5101,4.901373,5.092919,0.08284975
2019-08,30,60,2.192563,8.959688,688.8404,4.086399,4.235609,0.05308057
2019-08,60,1,0.05927307,0.3551083,17.9404,5.991056,5.712719,0.1183297
2019-08,60,15,0.8990798,4.07742,221.5101,4.535104,4.737333,0.08331339
2019-08,60,60,3.319786,11.87918,688.8404,3.578298,3.682644,0.06165595
2019-09,1,1,0.04039731,0.1748318,12.6953,4.327809,4.731436,0.05908148
2019-09,1,15,0.06591689,0.2449472,147.6632,3.716,4.552423,0.005851883
2019-09,1,60,0.0585032,0.2504978,437.2358,4.281779,5.28349,0.002318824
2019-09,5,1,0.04830818,0.2587016,12.6953,5.355234,5.918474,0.1079204
2019-09,5,15,0.270238,1.292958,147.6632,4.784517,5.577526,0.04074298
2019-09,5,60,0.303004,1.331147,437.2358,4.393167,5.455994,0.01259202
2019-09,30,1,0.05107701,0.278859,12.6953,5.45958,6.023248,0.1186442
2019-09,30,15,0.6118112,2.685791,147.6632,4.389901,4.901373,0.07876237
2019-09,30,60,1.709884,5.656669,437.2358,3.308217,4.086399,0.04043137
2019-09,60,1,0.05166237,0.2809081,12.6953,5.437383,5.991056,0.1190651
2019-09,60,15,0.7128882,2.926113,147.6632,4.104589,4.535104,0.08044225
2019-09,60,60,2.557029,7.551953,437.2358,2.953409,3.578298,0.04872775
